name,latitude,longitude
Ganesh Shiva temple,23.6570087,73.0820976
Bhimnath mahadev,23.6031711,72.4001056
Bhimnath mahadev,23.6031164,72.4002603
Balaram Mahadev Temple,24.2705258,72.5087956
Ambaji Temple,24.1740697,72.434025
Vishwakarma Temple,24.1739103,72.4338803
Kapileshwar Mahadev Temple,24.400981,71.4854132
Pataleshwar Temple,24.1739619,72.4321649
Jain Derasar,24.1720821,72.4377577
Mota Ramji Mandir,24.172801,72.4380562
Dharashnvel Temple (Magderu),22.289111,69.051442
Guhaditya temple,22.3010109,68.9869626
Junagadhi (Jain) Temple,22.317991,68.9990628
Kankeshvara Mahadeva temple & other shrines,22.318436,68.9973636
Gop Temple,22.0288533,69.9291298
Galteshwar Temple,22.7848805,73.2780749
Adnath Temple,20.8514107,70.7907872
Bhavnath Mahadev Temple,21.7776159,72.144317
Gopnath Temple,21.2099646,72.1078996
Temple,20.8684586,73.1680044
Om shanti,23.0873143,72.6192277
Dargah,23.4568466,73.298677
BAPS Swaminarayan Temple,23.4575764,73.3011975
Kantheria Hanuman Temple,24.1793954,72.4425701
Kalpyan Pushti Haveli,23.0384308,72.5306552
Paniyari Ashram,24.1801194,72.6485236
Chintamani Parshwanath Mandir,23.1792586,71.9793722
Rama Lakshamana Temples,22.19546,69.018989
Charbhuja Mandir,23.0060333,72.7511315
Khodiyar Mandir,21.5261844,70.4717875
godhar,23.1467573,73.7646098
Balaji Hanuman Mandir,22.2945908,70.8044948
Ganesh Temple,21.1645985,72.7753696
Ganesh Temple,21.1650904,72.7759941
Krishna Mandir,21.176977,72.8073848
Khuneshwar Temple,22.4731813,73.5214916
N/A,22.4609222,73.5305574
N/A,22.4616487,73.5271424
N/A,22.4838002,73.5294166
Somnath Mahadev Temple,21.2106971,72.7760832
Kali Temple,20.9651917,70.2859997
New Ram Mandir,20.9072181,70.3642553
Sai Baba Temple,20.927727,70.3519456
Ayyappa Temple,20.9139627,70.3589548
JAGNATH MAHADEV MANDIR,22.5409861,72.9620653
PANCHMUKHI HANUMAN MANDIR,22.5413329,72.9617327
MUMBADEVI MANDIR,22.5412112,72.9625466
Gurudwara,23.0707814,70.13846
Prerna Tirth Derasar,23.0214082,72.5198974
Temple,21.1740991,72.7922102
Vaijnath mandir,23.5895353,72.4188475
Shree Ram Mantra Mandir,21.7451441,72.1482984
Gangu Maa Temple,24.0380598,72.9630342
Dundri Masjid.,20.6890411,72.9494569
Sai Baba Temple.,20.8000752,72.9584763
Andheshwar Temple,20.8244564,72.9512696
Hansapore - Chachar Maata Mandir,20.9054815,72.9236316
Chotila,22.4197094,71.2100737
ચોટીલા ચામુંડા માતાજી મંદિર,22.4198652,71.2101026
Perrian.com,21.2041296,72.830902
Jay Khijdamama,22.4883948,70.8783705
Madina masjid,22.585902,70.909071
Hanuman mandir,22.6359197,71.3573445
Bhrigu Rishi Mahadev Temple,24.0295841,73.0564004
12 Jyotirlinga Shrine,24.0294984,73.056513
Hanuman Temple,24.03636,73.0489626
Jalaram Bapa Temple,24.0361665,73.0488419
महाकाली मंदिर,22.4635027,73.5153226
Bhuvadeshwar Mahadev Temple,23.0171222,69.9011745
Jwalamukhi Mataji Temple,22.1341504,73.4296838
Jalaram temple,21.1780223,72.6587348
Gangeshwar Mahadev Temple,24.2365629,72.5995039
Temple,24.2359759,72.5988655
Vishwakarma Temple,24.3105183,72.8440019
Kumbheshwar Mahadev Temple,24.3244309,72.8609374
Dhar Mata Temple,24.2682656,72.5179844
Malnath Mahadev Temple,21.6040551,72.1023546
Ambaji Temple,23.1199129,70.1147053
Tapovan Ashram,21.1754244,72.6589607
Neminath Jain temple,21.5267148,70.5230931
Vastupala Tunk,21.5265524,70.5237988
Samprati Raja Tunk,21.5270216,70.5237164
Merakvasi (Khartarvasahi) Tunk,21.5270323,70.5228457
Kumarapala (Purnasinh Kothari) Tunk,21.5275818,70.5233884
Mallavadi (Malvalu) Tunk,21.5265999,70.5243651
Digambara Jain temples,21.5264031,70.5243941
Dharamchand Hemchand Tunk,21.5270216,70.5243262
Gumasta (Gulabsinh) Tunk,21.5265554,70.5240007
Mansang Bhojraj Tunk,21.5258418,70.5236612
N/A,21.5263932,70.5242183
Sangram Soni Tunk,21.5272636,70.5230543
Gyanvav (Sambhavnath) Tunk,21.5273068,70.5235734
Chaumukhji Tunk,21.5267238,70.5245231
Neminath Diksha Kalyanak temple,21.5335098,70.5265926
Neminath Kevalgyan Kalyanak temple,21.533242,70.5261824
Adabadji Adeshwara Temple,21.5269259,70.5230577
Panchabai Temple,21.5270705,70.5230984
Adinath Digambar Temple,23.8558061,73.0030341
Shantinath Jain Temple,23.8565328,73.0035537
Shree Verai Mataji Temple,23.1856304,72.6165686
Shree Sargesvar Mahadev Temple,23.1855819,72.6158267
Shree Mahakali Mataji Temple,23.1872476,72.6157986
N/A,22.738412,70.4239175
JAMSAR TEMPLE,22.7939896,70.4340547
Mama No Otlo,22.7110905,70.4226241
N/A,22.7149014,70.4318253
